episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at
1,152,-0.025731009592749318,-0.00025451580464635586,0.0,-0.12738587527178402,-3.9111134580978963,-0.03868640230624609,0.0,-19.36265304131117,0,False,True,1761583283.385148
2,75,-0.0231273540921855,0.00012977063385951246,0.0,0.0,-1.7345515569139127,0.009732797539463434,0.0,0.0,0,False,True,1761583284.7007053
3,21,-0.013304097560982825,0.0062115697003146545,0.0,0.0,-0.27938604878063933,0.13044296370660774,0.0,0.0,0,False,True,1761583285.2289355
4,124,-0.02212500987381497,0.0006455223999069369,-0.12096774193548387,-0.7038981987580663,-2.7435012243530563,0.08004477758846018,-15.0,-87.28337664600022,1,False,True,1761583346.1496005
5,55,-0.022217687267129606,0.0013020811729977943,0.0,0.0,-1.2219727996921284,0.07161446451487868,0.0,0.0,0,False,True,1761583347.312897
6,78,-0.031197167925165557,-0.0032387477514276898,0.0,0.0,-2.4333790981629133,-0.2526223246113598,0.0,0.0,0,False,True,1761583348.5369995
7,108,-0.028225570469292065,-0.0017070506450430243,-0.1388888888888889,-2.4697603781198696,-3.048361610683543,-0.18436146966464662,-15.0,-266.7341208369459,1,False,True,1761583349.8685887
8,73,-0.023597679137184985,-0.00037158316926230766,0.0,-0.004370219529469966,-1.722630577014504,-0.02712557135614846,0.0,-0.3190260256513075,0,False,True,1761583350.6754715
9,129,-0.018510721569796145,0.0024877068378384385,0.0,-0.7457304022027026,-2.3878830825037025,0.32091418208115857,0.0,-96.19922188414863,0,False,True,1761583407.4974995
10,102,-0.031751387177231034,-0.0036485694096132803,0.0,0.0,-3.2386414920775657,-0.3721540797805546,0.0,0.0,0,False,True,1761583408.508322
11,204,-0.021260752286966823,0.001433624121378016,0.0,0.0,-4.3371934665412315,0.29245932076111525,0.0,0.0,0,False,True,1761583410.2118318
12,40,-0.01118403879503032,0.007328114867318283,-0.375,-1.5116367786463747,-0.4473615518012128,0.29312459469273133,-15.0,-60.46547114585499,1,False,True,1761583410.6889293
13,116,-0.018764613672246657,0.002325804373749582,0.0,0.0,-2.1766951859806123,0.2697933073549515,0.0,0.0,0,False,True,1761583412.2023904
14,59,-0.030472854109390508,-0.0032758488446807486,0.0,-0.13609179380712028,-1.79789839245404,-0.19327508183616415,0.0,-8.029415834620096,0,False,True,1761583412.8569572
15,44,-0.021238992371691922,0.0014120763868584211,0.0,-0.0493444606989573,-0.9345156643544446,0.062131361021770526,0.0,-2.171156270754121,0,False,True,1761583469.5307572
16,97,-0.031061965309659417,-0.0034900863749835285,-0.15463917525773196,-0.15577261587608474,-3.0130106350369634,-0.3385383783734023,-15.0,-15.10994373998022,1,False,True,1761583471.6743596
17,64,-0.015336853123388693,0.004532238845869087,0.0,0.0,-0.9815585998968763,0.29006328613562155,0.0,0.0,0,False,True,1761583472.8849874
18,107,-0.02453496050224645,-0.0007912538043839868,0.0,0.0,-2.6252407737403702,-0.08466415706908659,0.0,0.0,0,False,True,1761583474.6215973
19,117,-0.02594491047114656,-0.000816417507382039,-0.2564102564102564,-0.7834990313858919,-3.0355545251241476,-0.09552084836369856,-30.0,-91.66938667214936,2,False,True,1761583531.8589938
20,82,-0.03045667922744145,-0.002797912694516278,0.0,0.0,-2.497447696650199,-0.22942884095033478,0.0,0.0,0,False,True,1761583532.9292047
21,51,-0.015843059640132287,0.004548302773868884,0.0,0.0,-0.8079960416467467,0.23196344146731307,0.0,0.0,0,False,True,1761583533.7521224
22,89,-0.031386408451469144,-0.0036954300952886498,0.0,-0.6017134783171924,-2.793390352180754,-0.32889327848068983,0.0,-53.55249957023012,0,False,True,1761583535.6225398
23,160,-0.031193942343903568,-0.0028635228274554976,-0.09375,-0.24830629432160217,-4.991030775024571,-0.4581636523928796,-15.0,-39.729007091456346,1,False,True,1761583537.3172233
24,65,-0.008744916549522324,0.03818929835057475,0.0,0.0,-0.5684195757189511,2.482304392787359,0.0,0.0,0,True,False,1761583605.5590858
25,89,-0.005070022325058178,0.031151239132888576,-0.16853932584269662,-0.33628568683820764,-0.45123198693017785,2.7724602828270832,-15.0,-29.92942612860048,1,True,False,1761583607.4183543
26,113,-0.021694467868363182,0.0010421923064796467,0.0,0.0,-2.4514748691250396,0.11776773063220008,0.0,0.0,0,False,True,1761583609.1377263
27,121,-0.008735740050955634,0.007305017998227087,-0.24793388429752067,-0.8083540210512508,-1.0570245461656318,0.8839071777854776,-30.0,-97.81083654720135,2,False,True,1761583611.1028986
28,69,-0.030736402090550993,-0.0030463964452733788,-0.21739130434782608,-0.44346930840738064,-2.1208117442480185,-0.21020135472386314,-15.0,-30.599382280109264,1,False,True,1761583670.185437
