episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at,pid,agent
1,95,-0.0011253964809376,0.0052867792312658,0.0,0.0,-0.1069126656890785,0.5022440269702596,0.0,0.0,0,True,False,1764256493.8484185,pid_39196,KL005
1,117,-0.003217601970533,-0.0041271807220126,0.0,0.0,-0.3764594305523689,-0.4828801444754766,0.0,0.0,0,False,True,1764256494.8722837,pid_39196,KL001
1,132,-0.0030239092858277,-0.0024414702842961,0.0,0.0,-0.3991560257292587,-0.3222740775270929,0.0,0.0,0,False,True,1764256496.3972635,pid_11376,KL004
1,148,-0.0012206083346908,0.0034073152250814,0.0,-0.0243722583616225,-0.1806500335342434,0.5042826533120559,0.0,-3.607094237520134,0,False,True,1764256497.6718142,pid_11376,KL005
1,181,-0.0026886858630638,-0.0025724032238298,-0.0165745856353591,-0.0144588057349295,-0.4866521412145526,-0.4656049835132063,-3.0,-2.6170438380222545,1,False,True,1764256500.4761183,pid_45472,KL002
1,186,-0.0023048904614528,0.0003628915041488,0.0,0.0,-0.4287096258302252,0.0674978197716857,0.0,0.0,0,False,True,1764256500.89969,pid_45472,KL005
1,192,-0.0022455487308553,0.0008453816848731,0.0,-2.618991870028768e-06,-0.4311453563242356,0.1623132834956431,0.0,-0.0005028464390455,0,False,True,1764256501.272309,pid_13140,KL002
1,224,-0.0026263490797064,-0.0026234989163144,-0.0133928571428571,-0.0093745165531385,-0.5883021938542424,-0.587663757254443,-3.0,-2.099891707903042,1,False,True,1764256503.486132,pid_44232,KL003
1,236,-0.0023918137839916,-0.000331617729927,0.0,-0.0013232162096021,-0.5644680530220412,-0.0782617842627887,0.0,-0.312279025466099,0,False,True,1764256504.2903607,pid_21440,KL003
1,247,-0.0028101428747173,-0.002397763792277,0.0,0.0,-0.6941052900551965,-0.5922476566924394,0.0,0.0,0,False,True,1764256504.86865,pid_37212,KL003
1,274,-0.0027470658802513,-0.0019449272411072,0.0,0.0,-0.7526960511888807,-0.5329100640633978,0.0,0.0,0,False,True,1764256506.64867,pid_6396,KL004
1,283,-0.0029078342035921,-0.0024764424700545,0.0,0.0,-0.8229170796165912,-0.7008332190254513,0.0,0.0,0,False,True,1764256507.257584,pid_28448,KL004
2,189,-0.0020587059874753,0.000742941423101,-0.0158730158730158,-0.009085761010701,-0.3890954316328435,0.1404159289660982,-3.0,-1.7172088310224898,1,False,True,1764256508.8355105,pid_39196,KL001
2,189,-0.0027976030956509,-0.0022705494752152,-0.0158730158730158,-0.0085707815551261,-0.5287469850780291,-0.4291338508156876,-3.0,-1.6198777139188378,1,False,True,1764256508.8355105,pid_39196,KL005
1,319,-0.0025131755846084,-0.0008503400463123,-0.0094043887147335,-0.0040155444069533,-0.8017030114900903,-0.2712584747736549,-3.0,-1.2809586658181067,1,False,True,1764256509.5992763,pid_1756,KL004
1,327,-0.0023664089491182,0.000277896555924,-0.018348623853211,-0.0292263345147209,-0.773815726361652,0.0908721737871499,-6.0,-9.557011386313745,2,False,True,1764256510.2217915,pid_38328,KL004
1,334,-0.0023955937419009,-0.000129871825461,-0.0089820359281437,-0.0021877639523789,-0.8001283097949116,-0.0433771897039839,-3.0,-0.7307131600945599,1,False,True,1764256510.5957413,pid_7584,KL001
1,339,-0.0020389533164619,0.0020379349139746,0.0,0.0,-0.6912051742805846,0.6908599358373996,0.0,0.0,0,True,False,1764256510.945244,pid_31720,KL003
2,153,-0.001880475717057,-0.0022785605807997,-0.0196078431372549,-0.0040022044133316,-0.287712784709728,-0.3486197688623626,-3.0,-0.6123372752397356,1,False,True,1764256510.9567616,pid_45472,KL002
2,193,-0.0026542916706873,-0.0018792261876102,-0.0310880829015544,-0.0136307746213067,-0.5122782924426575,-0.362690654208785,-6.0,-2.630739501912194,2,False,True,1764256511.1396575,pid_11376,KL004
1,364,-0.0026582431428404,-0.0016504667396006,-0.0082417582417582,-0.0031064364910513,-0.9676005039939132,-0.6007698932146501,-3.0,-1.1307428827426942,1,False,True,1764256512.6512089,pid_23200,KL004
