episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_intrusion,terminated_waypoint,truncated,finished_at
1,56,-0.0342121150019161,-0.0019136892417975168,0.0,-0.02003062869419498,-1.9158784401073015,-0.10716659754066094,0.0,-1.121715206874919,0,False,False,True,1761322344.8697093
2,2,-0.004532825707735648,0.03188739791755868,0.0,0.0,-0.009065651415471295,0.06377479583511736,0.0,0.0,0,True,False,False,1761322346.5981295
3,6,-0.004875790698123963,0.02495863349075812,0.0,0.0,-0.029254744188743777,0.1497518009445487,0.0,0.0,0,True,False,False,1761322346.6814072
4,7,-0.0038768723414088586,0.024068125926427375,-0.8571428571428571,-1.8118089144138299,-0.02713810638986201,0.16847688148499163,-6.0,-12.68266240089681,1,True,False,False,1761322346.8091743
5,54,-0.04078317089547145,-0.004978064131668643,0.0,0.0,-2.2022912283554583,-0.26881546311010673,0.0,0.0,0,False,False,True,1761322347.3923278
6,231,-0.029052186100955786,0.0007315925392198943,0.0,-0.04293150287289421,-6.711054989320787,0.1689978765597956,0.0,-9.917177163638563,0,False,False,True,1761322349.3526757
7,81,-0.04452843680528544,-0.008207729754015486,0.0,0.0,-3.6068033812281204,-0.6648261100752544,0.0,0.0,0,False,False,True,1761322350.1786041
8,31,-0.020534636536041005,0.010091487456371204,-0.1935483870967742,-0.2727685394649863,-0.6365737326172711,0.3128361111475073,-6.0,-8.455824723414576,1,True,False,False,1761322350.9915526
9,43,-0.027733823000478375,0.0039052605647490195,-0.13953488372093023,-0.15534631044531796,-1.19255438902057,0.16792620428420785,-6.0,-6.679891349148672,1,True,False,False,1761322351.5263836
10,109,-0.014462371833429171,0.011989441339946555,-0.05504587155963303,-0.46335044416703197,-1.5763985298437797,1.3068491060541745,-6.0,-50.50519841420648,1,True,False,False,1761322352.5549772
11,12,-0.007811005777177524,0.01970137376933387,0.0,0.0,-0.09373206932613029,0.23641648523200642,0.0,0.0,0,True,False,False,1761322352.7217362
12,11,-0.008290753110382352,0.019561001196315018,-0.5454545454545454,-1.2393438014932079,-0.09119828421420587,0.21517101315946519,-6.0,-13.632781816425286,1,True,False,False,1761322352.8529718
13,145,-0.032726939613752976,0.00045118312770875565,0.0,0.0,-4.745406243994181,0.06542155351776957,0.0,0.0,0,False,False,True,1761322353.9261777
14,1,-0.00290262455163932,0.03431877216942025,0.0,0.0,-0.00290262455163932,0.03431877216942025,0.0,0.0,0,True,False,False,1761322442.6952891
15,13,-0.004083763000879776,0.02082717538737134,-0.46153846153846156,-0.5451340356999739,-0.05308891901143709,0.27075328003582744,-6.0,-7.086742464099661,1,True,False,False,1761322442.8539789
16,11,-0.011521050546392221,0.01765232221036327,0.0,0.0,-0.12673155601031444,0.19417554431399597,0.0,0.0,0,True,False,False,1761322442.9725192
17,8,-0.0034809846514822105,0.023650568638119554,0.0,0.0,-0.027847877211857684,0.18920454910495643,0.0,0.0,0,True,False,False,1761322443.118431
18,21,-0.012388183580082236,0.015952042666936887,0.0,0.0,-0.26015185518172695,0.3349928960056746,0.0,0.0,0,True,False,False,1761322443.4012554
19,50,-0.0178246433657017,0.01021762838414539,0.0,0.0,-0.8912321682850849,0.5108814192072695,0.0,0.0,0,True,False,False,1761322443.9330554
20,1,-0.002926358419299251,0.034316316899254184,0.0,0.0,-0.002926358419299251,0.034316316899254184,0.0,0.0,0,True,False,False,1761322443.9798262
21,38,-0.0310256962289885,0.0015398203138658152,0.0,0.0,-1.178976456701563,0.058513171926900975,0.0,0.0,0,False,False,True,1761322444.3627353
