episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,total_intrusions,finished_at
1,38,-0.13949412143075393,0.0,0.0,-5.300776614368649,0.0,0.0,0,1761081362.3675802
2,27,-0.13537118077092458,0.0,0.0,-3.6550218808149637,0.0,0.0,0,1761081362.8327272
3,5,-0.14415876220460344,0.0,0.0,-0.7207938110230172,0.0,0.0,0,1761081362.9565442
4,14,-0.05710099856024277,0.07142857142857142,0.0,-0.7994139798433988,1.0,0.0,0,1761081364.150012
5,8,-0.21407280550066965,0.0,0.0,-1.7125824440053572,0.0,0.0,0,1761081364.3610873
6,30,-0.12363197315925167,0.0,-0.03333333333333333,-3.70895919477755,0.0,-1.0,1,1761081365.3735447
7,9,-0.12040614353123094,0.0,0.0,-1.0836552917810784,0.0,0.0,0,1761081365.7338028
8,54,-0.166652869865359,0.0,0.0,-8.999254972729386,0.0,0.0,0,1761081366.9644167
9,47,-0.19300730384598158,0.0,0.0,-9.071343280761134,0.0,0.0,0,1761081367.642525
10,28,-0.20378529551728808,0.0,0.0,-5.705988274484066,0.0,0.0,0,1761081394.706552
11,4,-0.11423878364573106,0.0,0.0,-0.45695513458292425,0.0,0.0,0,1761081394.8234825
12,51,-0.160250744059128,0.0,-0.0392156862745098,-8.172787947015529,0.0,-2.0,2,1761081395.9687943
13,18,-0.14747515937380362,0.0,0.0,-2.6545528687284654,0.0,0.0,0,1761081396.3119035
14,5,-0.04008766948318969,0.2,0.0,-0.20043834741594843,1.0,0.0,0,1761081396.956692
15,8,-0.07033522656388923,0.125,0.0,-0.5626818125111138,1.0,0.0,0,1761081397.6138299
16,12,-0.20690273447864713,0.0,0.0,-2.4828328137437654,0.0,0.0,0,1761081398.1404073
17,17,-0.2052928889713171,0.0,0.0,-3.4899791125123905,0.0,0.0,0,1761081398.4525855
18,1,-0.1954375401830883,1.0,0.0,-0.1954375401830883,1.0,0.0,0,1761081398.8383923
19,23,-0.12653598832386334,0.0,0.0,-2.910327731448857,0.0,0.0,0,1761081399.6735501
20,35,-0.17252658827242517,0.0,-0.2571428571428571,-6.038430589534881,0.0,-9.0,9,1761081400.2352118
21,11,-0.17060928203596343,0.0,-0.09090909090909091,-1.8767021023955976,0.0,-1.0,1,1761081400.4226918
22,11,-0.12745875863993306,0.0,0.0,-1.4020463450392637,0.0,0.0,0,1761081427.0353723
23,60,-0.14360317077361623,0.0,-0.08333333333333333,-8.616190246416974,0.0,-5.0,5,1761081428.2100625
24,9,-0.1012437935632546,0.0,-0.2222222222222222,-0.9111941420692914,0.0,-2.0,2,1761081428.3586922
25,2,-0.14705907333461785,0.5,0.0,-0.2941181466692357,1.0,0.0,0,1761081429.1753836
26,20,-0.07451020740610037,0.05,-0.05,-1.4902041481220074,1.0,-1.0,1,1761081429.9547913
