episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,total_intrusions,finished_at
1,22,-0.16503041014529438,0.0,-0.22727272727272727,-3.6306690231964764,0.0,-5.0,5,1761081362.1786892
2,5,-0.1392158031089183,0.0,0.0,-0.6960790155445914,0.0,0.0,0,1761081362.5541008
3,57,-0.17724723528495526,0.0,-0.03508771929824561,-10.10309241124245,0.0,-2.0,2,1761081363.7190068
4,17,-0.07704121156596472,0.0,0.0,-1.3097005966214001,0.0,0.0,0,1761081364.18762
5,10,-0.08650081187436534,0.0,0.0,-0.8650081187436535,0.0,0.0,0,1761081364.3911743
6,29,-0.1877554158210356,0.0,-0.034482758620689655,-5.444907058810033,0.0,-1.0,1,1761081365.3596258
7,47,-0.17656885069610664,0.0,0.0,-8.298735982717012,0.0,0.0,0,1761081366.2082045
8,18,-0.20720640301757276,0.0,0.0,-3.7297152543163095,0.0,0.0,0,1761081366.5239959
9,21,-0.20200346825960272,0.0,-0.047619047619047616,-4.242072833451657,0.0,-1.0,1,1761081367.3363628
10,18,-0.07772957656139533,0.0,0.0,-1.399132378105116,0.0,0.0,0,1761081394.562634
11,34,-0.17325892665010348,0.0,0.0,-5.890803506103518,0.0,0.0,0,1761081395.2117684
12,37,-0.10714183599123045,0.02702702702702703,-0.05405405405405406,-3.964247931675527,1.0,-2.0,2,1761081395.8046885
13,24,-0.05293227099448217,0.0,0.0,-1.270374503867572,0.0,0.0,0,1761081396.3978121
14,30,-0.17620866236111296,0.0,0.0,-5.286259870833389,0.0,0.0,0,1761081397.2996752
15,17,-0.1420983303840603,0.0,0.0,-2.4156716165290253,0.0,0.0,0,1761081397.752149
16,11,-0.07429811091582085,0.0,0.0,-0.8172792200740294,0.0,0.0,0,1761081398.1267514
17,10,-0.13192752547683184,0.0,0.0,-1.3192752547683184,0.0,0.0,0,1761081398.3629296
18,18,-0.06509036759013945,0.0,0.0,-1.17162661662251,0.0,0.0,0,1761081399.0779164
19,19,-0.11558067700703975,0.0,0.0,-2.1960328631337553,0.0,0.0,0,1761081399.6142173
20,17,-0.2529629680340509,0.0,-0.058823529411764705,-4.300370456578865,0.0,-1.0,1,1761081400.009208
21,19,-0.10011353384621469,0.0,0.0,-1.902157143078079,0.0,0.0,0,1761081400.5194762
22,24,-0.16211453667211284,0.0,0.0,-3.890748880130708,0.0,0.0,0,1761081427.2340682
23,32,-0.19829585424349286,0.0,-0.125,-6.3454673357917715,0.0,-4.0,4,1761081427.8836465
24,39,-0.12286899758337985,0.0,-0.07692307692307693,-4.791890905751814,0.0,-3.0,3,1761081428.732678
25,33,-0.09431277164624777,0.0,0.0,-3.1123214643261763,0.0,0.0,0,1761081429.5943089
26,37,-0.12539557167177448,0.0,-0.05405405405405406,-4.6396361518556555,0.0,-2.0,2,1761081430.1534283
27,4,-0.07335784006066341,0.0,0.0,-0.29343136024265365,0.0,0.0,0,1761081430.2452397
28,19,-0.09989954995166789,0.0,0.0,-1.8980914490816898,0.0,0.0,0,1761081431.0270145
29,23,-0.1097006149848089,0.0,0.0,-2.523114144650605,0.0,0.0,0,1761081431.7350373
30,23,-0.07853036090243046,0.0,0.0,-1.8061983007559006,0.0,0.0,0,1761081432.2168007
31,18,-0.14530350525421362,0.0,-0.16666666666666666,-2.615463094575845,0.0,-3.0,3,1761081460.5413425
32,12,-0.21779076557488172,0.0,0.0,-2.6134891868985806,0.0,0.0,0,1761081460.901713
33,18,-0.10009920906921088,0.0,-0.05555555555555555,-1.8017857632457959,0.0,-1.0,1,1761081461.3114748
34,2,-0.09863874250437844,0.5,0.0,-0.1972774850087569,1.0,0.0,0,1761081461.5409713
35,19,-0.10786863607320028,0.0,-0.05263157894736842,-2.0495040853908053,0.0,-1.0,1,1761081462.3170607
36,22,-0.07797424477213265,0.045454545454545456,0.0,-1.715433384986918,1.0,0.0,0,1761081462.903522
37,19,-0.14101898832949944,0.0,0.0,-2.6793607782604894,0.0,0.0,0,1761081463.2571547
38,16,-0.11662908447486908,0.0,0.0,-1.8660653515979053,0.0,0.0,0,1761081463.6727383
39,18,-0.142138123588649,0.0,0.0,-2.558486224595682,0.0,0.0,0,1761081464.1923082
40,38,-0.08604405734646556,0.0,0.0,-3.2696741791656914,0.0,0.0,0,1761081464.8319087
41,16,-0.08148957631212529,0.0,-0.0625,-1.3038332209940047,0.0,-1.0,1,1761081465.162442
42,21,-0.0802061339023944,0.0,0.0,-1.6843288119502824,0.0,0.0,0,1761081465.581422
43,20,-0.06367583916536035,0.05,-0.05,-1.273516783307207,1.0,-1.0,1,1761081465.9404466
44,7,-0.07357761414895693,0.14285714285714285,-0.14285714285714285,-0.5150432990426985,1.0,-1.0,1,1761081466.2839792
45,55,-0.12404926818434169,0.0,0.0,-6.8227097501387926,0.0,0.0,0,1761081499.2929199
46,10,-0.06252486113850061,0.0,0.0,-0.6252486113850062,0.0,0.0,0,1761081499.4542546
47,7,-0.06917783205086395,0.14285714285714285,0.0,-0.4842448243560476,1.0,0.0,0,1761081499.924109
48,16,-0.07418708330364385,0.0,0.0,-1.1869933328583016,0.0,0.0,0,1761081500.4444857
49,13,-0.065120134101332,0.0,0.0,-0.8465617433173159,0.0,0.0,0,1761081500.7653277
50,20,-0.08356867025766315,0.0,0.0,-1.671373405153263,0.0,0.0,0,1761081501.2204306
51,26,-0.09077239283521207,0.0,-0.07692307692307693,-2.360082213715514,0.0,-2.0,2,1761081501.6774774
52,10,-0.04387381808891564,0.1,0.0,-0.4387381808891564,1.0,0.0,0,1761081501.8707993
53,3,-0.03242972781496708,0.3333333333333333,0.0,-0.09728918344490123,1.0,0.0,0,1761081502.105333
54,30,-0.1275329579128677,0.0,-0.03333333333333333,-3.825988737386031,0.0,-1.0,1,1761081502.9069967
55,27,-0.06103297600007375,0.0,-0.037037037037037035,-1.6478903520019912,0.0,-1.0,1,1761081503.3261125
56,19,-0.03674877833853628,0.05263157894736842,0.0,-0.6982267884321893,1.0,0.0,0,1761081503.6439245
57,12,-0.08901590780401414,0.0,0.0,-1.0681908936481697,0.0,0.0,0,1761081504.1286266
58,10,-0.07594417512266387,0.0,-0.1,-0.7594417512266387,0.0,-1.0,1,1761081504.9415088
59,7,-0.08251670047091461,0.0,0.0,-0.5776169032964023,0.0,0.0,0,1761081505.287027
60,17,-0.044542596748746256,0.058823529411764705,0.0,-0.7572241447286864,1.0,0.0,0,1761081540.357516
