iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
5,-5.496,100.7,1.03,0.75
10,-5.918,95.03,1.43,0.9611
15,-6.96,95.9,1.37,0.9722
20,-5.0,97.67,1.1,0.9611
25,-4.849,101.13,0.77,0.95
30,-4.081,99.13,0.6,0.9167
35,-3.209,102.17,0.27,0.9556
40,-1.76,111.67,0.33,0.9556
45,-4.751,107.7,0.53,0.95
50,-2.692,101.53,0.3,0.95
55,-2.108,102.27,0.37,0.9333
60,-1.908,103.93,0.43,0.9333
65,-3.323,102.23,0.33,0.8611
70,-2.639,98.57,0.5,0.9167
75,-1.082,105.53,0.17,0.9167
80,-4.491,104.83,0.47,0.9056
85,-2.304,105.67,0.43,0.8667
90,-2.468,109.53,0.43,0.9222
95,-1.694,108.77,0.17,0.9444
100,0.114,110.0,0.17,0.9333
