episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,finished_at,pid,agent
1,3,-0.0051024157777667,0.3545167714049231,0.0,0.0,-0.0153072473333003,1.0635503142147693,0.0,0.0,0,1761290737.6163683,pid_10056,KL003
1,4,-0.007539732179098,0.2723088116037956,0.0,0.0,-0.0301589287163921,1.0892352464151824,0.0,0.0,0,1761290737.6285875,pid_25628,KL006
1,6,-0.0026544141990812,0.1890744486438153,-1.0,-0.1299721554541149,-0.0159264851944875,1.134446691862892,-6.0,-0.7798329327246897,1,1761290737.669341,pid_36168,KL006
1,11,-0.0219855379354984,0.0106152395206999,0.0,0.0,-0.2418409172904826,0.1167676347276989,0.0,0.0,0,1761290737.6962178,pid_10056,KL002
1,13,-0.0147185408505762,0.0163655076491697,0.0,-0.0939843249684977,-0.1913410310574918,0.212751599439207,0.0,-1.221796224590471,0,1761290737.705742,pid_39504,KL005
1,10,-0.0176366898845642,0.0146329284287714,-2.4,-0.0982362764006451,-0.1763668988456428,0.1463292842877147,-24.0,-0.9823627640064516,4,1761290737.725536,pid_32604,KL002
1,14,-0.0188887444837057,0.0123750269998807,0.0,0.0,-0.2644424227718798,0.1732503779983305,0.0,0.0,0,1761290737.7388506,pid_28900,KL005
1,18,-0.0053624576621307,0.0749535177027486,0.0,0.0,-0.0965242379183531,1.3491633186494751,0.0,0.0,0,1761290737.740854,pid_15664,KL006
1,14,-0.0180548687703694,0.013260950235494,-2.142857142857143,-0.0815247857801589,-0.2527681627851726,0.1856533032969167,-30.0,-1.1413470009222255,5,1761290737.75851,pid_31268,KL002
1,16,-0.0068247807124506,0.0813667067786166,0.0,0.0,-0.1091964913992103,1.301867308457867,0.0,0.0,0,1761290737.771036,pid_27080,KL006
1,15,-0.0185533894232957,0.0124399176889408,0.0,0.0,-0.2783008413494359,0.1865987653341123,0.0,0.0,0,1761290737.7735612,pid_6248,KL006
1,21,-0.0112258414772048,0.0161680529799004,0.0,0.0,-0.2357426710213011,0.3395291125779092,0.0,0.0,0,1761290737.7781348,pid_25628,KL005
1,30,-0.0083980361446731,0.051101554925348,-2.4,-0.054563582498361,-0.2519410843401959,1.533046647760441,-72.0,-1.6369074749508323,13,1761290737.8656423,pid_33172,KL003
1,29,-0.0095876197764033,0.0155963126476135,0.0,0.0,-0.2780409735156982,0.4522930667807927,0.0,0.0,0,1761290737.8686416,pid_28900,KL006
1,30,-0.0059948222668879,0.0521434203424528,0.0,0.0,-0.1798446680066388,1.564302610273584,0.0,0.0,0,1761290737.9036386,pid_38436,KL004
1,36,-0.031315747456353,0.001616914150622,0.0,0.0,-1.1273669084287112,0.0582089094223921,0.0,0.0,0,1761290737.9598002,pid_27080,KL004
1,47,-0.0274814517531919,0.0039248419829629,0.0,0.0,-1.2916282324000203,0.1844675731992593,0.0,0.0,0,1761290737.9724782,pid_15664,KL003
1,45,-0.0257572871619718,0.0053811967655118,-0.1333333333333333,-0.0058015347169566,-1.1590779222887353,0.2421538544480326,-6.0,-0.2610690622630473,1,1761290737.987738,pid_33172,KL001
1,41,-0.0285906505053243,0.0026834900946426,0.0,-0.0020588842208074,-1.1722166707183,0.1100230938803468,0.0,-0.0844142530531069,0,1761290737.999246,pid_19884,KL004
1,52,-0.0107422011572908,0.0157982989927706,0.0,0.0,-0.5585944601791248,0.8215115476240757,0.0,0.0,0,1761290738.0100353,pid_39504,KL003
1,44,-0.0122505753253423,0.0151585910144218,0.0,0.0,-0.5390253143150652,0.6669780046345631,0.0,0.0,0,1761290738.0220356,pid_19884,KL005
1,49,-0.0382681382255324,-0.0033667720100858,0.0,-0.1141736293053727,-1.875138773051089,-0.1649718284942058,0.0,-5.594507835963265,0,1761290738.038964,pid_32604,KL006
1,53,-0.0305946027301569,0.0008917885728088,0.0,0.0,-1.6215139446983204,0.0472647943588686,0.0,0.0,0,1761290738.0449624,pid_28900,KL002
1,45,-0.0084253800347495,0.0171386276699241,0.0,0.0,-0.3791421015637293,0.7712382451465887,0.0,0.0,0,1761290738.0449624,pid_38436,KL002
1,49,-0.0078417019929694,0.0371900715433414,0.0,-0.0837317690587564,-0.3842433976555018,1.822313505623732,0.0,-4.102856683879064,0,1761290738.0489862,pid_28396,KL003
1,50,-0.0252978563578195,0.0052768856965933,0.0,0.0,-1.2648928178909762,0.2638442848296669,0.0,0.0,0,1761290738.0626042,pid_27080,KL005
1,56,-0.0250112648627986,0.0061862040633306,-2.142857142857143,-0.0762795294402575,-1.4006308323167227,0.3464274275465161,-120.0,-4.271653648654425,20,1761290738.0666077,pid_33172,KL004
1,58,-0.0441516576286257,-0.0075090525513614,0.0,0.0,-2.560796142460293,-0.4355250479789616,0.0,0.0,0,1761290738.077108,pid_36192,KL002
1,56,-0.0133622603816043,0.0129152331156165,0.0,0.0,-0.7482865813698443,0.7232530544745257,0.0,0.0,0,1761290738.0896432,pid_35688,KL003
1,54,-0.0166981123284578,0.0116541199987725,0.0,0.0,-0.9016980657367232,0.6293224799337156,0.0,0.0,0,1761290738.0956416,pid_36168,KL002
1,53,-0.0212676086301353,0.0083831456120179,0.0,0.0,-1.127183257397172,0.444306717436949,0.0,0.0,0,1761290738.1101806,pid_38436,KL001
1,65,-0.0372612428002555,-0.0037098602702336,-0.7384615384615385,-0.2023462344957019,-2.4219807820166106,-0.2411409175651859,-48.0,-13.152505242220624,8,1761290738.1221876,pid_33172,KL006
