iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
5,-89.208,166.55,12.1,0.0917
10,-36.824,107.45,5.2,0.6333
15,-85.685,99.45,13.0,0.8833
20,-65.171,96.05,10.6,0.9417
