episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,finished_at,pid,agent
1,1,-0.2848798480248237,0.0163626633572248,0.0,-0.2848798480248237,0.0163626633572248,0.0,1760618856.4623194,pid_24456,KL001
1,2,-0.0855081161917285,0.0227646088545049,0.0,-0.1710162323834571,0.0455292177090098,0.0,1760618856.4848576,pid_12468,KL001
1,3,-0.1573167960483055,0.0072824441549202,0.0,-0.4719503881449166,0.0218473324647607,0.0,1760618856.4933782,pid_14772,KL005
1,4,-0.0438440858929811,0.0236699754057996,0.0,-0.1753763435719246,0.0946799016231985,0.0,1760618856.5041442,pid_31504,KL006
1,4,-0.1931883098794484,-0.0002263362357056,0.0,-0.7727532395177936,-0.0009053449428227,0.0,1760618856.5080347,pid_30300,KL006
1,3,-0.154022360908324,0.0068234556229135,0.0,-0.4620670827249721,0.0204703668687407,0.0,1760618856.5110369,pid_31152,KL006
1,5,-0.0516302418226667,0.0229306935455843,0.0,-0.2581512091133336,0.1146534677279216,0.0,1760618856.5240345,pid_23936,KL003
1,6,-0.1153691576118054,0.0127728928069513,0.0,-0.6922149456708326,0.0766373568417081,0.0,1760618856.5330396,pid_23228,KL005
1,6,-0.223735733273963,-0.0070381805097136,0.0,-1.342414399643778,-0.0422290830582816,0.0,1760618856.5330396,pid_31504,KL005
1,6,-0.1262539225768116,0.0080623702730952,0.0,-0.7575235354608696,0.0483742216385715,0.0,1760618856.536038,pid_30300,KL004
1,5,-0.0924269367892585,0.0155691524230825,0.0,-0.4621346839462928,0.0778457621154128,0.0,1760618856.546553,pid_27496,KL005
1,5,-0.1880255390133907,-0.0020630500840009,0.0,-0.940127695066954,-0.0103152504200045,0.0,1760618856.547551,pid_31152,KL003
1,9,-0.1421021706565124,0.0045311751365158,0.0,-1.2789195359086123,0.040780576228643,0.0,1760618856.5793955,pid_23936,KL001
1,9,-0.1449248441590059,0.0052715564433372,0.0,-1.304323597431053,0.0474440079900354,0.0,1760618856.5814028,pid_14772,KL002
1,9,-0.1612847448008147,0.0014483474009148,0.0,-1.4515627032073324,0.0130351266082339,0.0,1760618856.584403,pid_27280,KL006
1,10,-0.2068381227822298,-0.0082667054457292,0.0,-2.0683812278222984,-0.0826670544572928,0.0,1760618856.5932066,pid_30300,KL005
1,10,-0.1353229685506336,0.007706244593063,0.0,-1.3532296855063366,0.07706244593063,0.0,1760618856.5947206,pid_14772,KL001
1,10,-0.1097474739001828,0.0108017590585358,-0.3,-1.0974747390018282,0.1080175905853583,-3.0,1760618856.5957391,pid_26804,KL003
1,8,-0.156301958489243,0.0026939669224329,0.0,-1.2504156679139449,0.0215517353794634,0.0,1760618856.5962467,pid_17024,KL001
1,10,-0.0642616673052511,0.0188552790036116,0.0,-0.6426166730525111,0.1885527900361162,0.0,1760618856.602257,pid_27280,KL001
1,10,-0.0844190827702478,0.0142107402491074,0.0,-0.8441908277024782,0.1421074024910749,0.0,1760618856.602257,pid_20104,KL006
1,11,-0.1893520805721023,-0.0051137126443459,0.0,-2.082872886293125,-0.0562508390878054,0.0,1760618856.610976,pid_12468,KL004
1,12,-0.1117096116316073,0.0122351410234796,0.0,-1.3405153395792877,0.1468216922817558,0.0,1760618856.6205423,pid_31504,KL002
1,13,-0.080833167449618,0.0171184864905295,-0.2307692307692307,-1.0508311768450345,0.2225403243768835,-3.0,1760618856.639274,pid_26804,KL002
1,13,-0.1906664882313104,-0.0046484337621118,0.0,-2.478664347007036,-0.0604296389074536,0.0,1760618856.6530728,pid_24456,KL005
1,11,-0.060124736011786,0.0198048140921146,0.0,-0.661372096129647,0.2178529550132612,0.0,1760618856.66113,pid_27496,KL003
1,14,-0.1022371513978487,0.0124770312004401,0.0,-1.431320119569882,0.1746784368061614,0.0,1760618856.6641278,pid_14892,KL002
1,13,-0.0596689410307321,0.0184980540983858,0.0,-0.7756962333995175,0.2404747032790153,0.0,1760618856.669128,pid_17024,KL006
1,15,-0.068180324906381,0.0162883088786278,0.0,-1.022704873595716,0.2443246331794177,0.0,1760618856.6751409,pid_12468,KL002
1,15,-0.1125038348093727,0.010126040822809,0.0,-1.6875575221405903,0.1518906123421354,0.0,1760618856.6761403,pid_27280,KL004
