episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at
1,206,-0.003196434867883974,-0.004202679342489836,-0.014563106796116505,-0.01840594075431652,-0.6584655827840986,-0.8657519445529063,-3.0,-3.7916237953892034,1,False,True,1762880669.8140848
2,135,-0.002518649643460487,-0.0011342743279658854,-0.022222222222222223,-0.009517889896911864,-0.3400177018671658,-0.15312703427539454,-3.0,-1.2849151360831017,1,False,True,1762880692.4232342
3,150,-0.002784013755293368,-0.002469051607667193,0.0,0.0,-0.4176020632940052,-0.3703577411500789,0.0,0.0,0,False,True,1762880707.4453545
4,115,-0.0028840202013330446,-0.0028777179618358663,0.0,-0.019927407866788812,-0.33166232315330013,-0.33093756561112464,0.0,-2.2916519046807133,0,False,True,1762880715.2213535
5,53,-0.001049122230178994,0.0023177463444276924,0.0,0.0,-0.055603478199486675,0.1228405562546677,0.0,0.0,0,False,True,1762880749.2909865
6,119,-0.0026650792699491384,-0.0004419958552205068,-0.025210084033613446,-0.02108124573403392,-0.31714443312394747,-0.05259750677124031,-3.0,-2.508668242350036,1,False,True,1762880771.1083393
7,180,-0.0025413773303655566,0.00026673023002015745,0.0,0.0,-0.45744791946580016,0.04801144140362834,0.0,0.0,0,False,True,1762880804.4180143
8,71,-0.0026340847765216474,-0.00029695900644305617,0.0,0.0,-0.18702001913303698,-0.02108408945745699,0.0,0.0,0,False,True,1762880808.9905205
9,109,-0.0028877653785658168,-0.002107541877812717,-0.027522935779816515,-0.014118992515499898,-0.314766426263674,-0.22972206468158618,-3.0,-1.538970184189489,1,False,True,1762880824.1014593
10,105,-0.0032264088942134737,-0.0041674492633697515,-0.05714285714285714,-0.02062120416448108,-0.33877293389241475,-0.4375821726538239,-6.0,-2.1652264372705132,2,False,True,1762880839.6580198
11,94,-0.002816209806861665,-0.002359934139884,0.0,-0.041667140273574016,-0.2647237218449965,-0.221833809149096,0.0,-3.9167111857159576,0,False,True,1762880879.0215945
12,174,-0.0029744576390082315,-0.002144193200355142,-0.017241379310344827,-0.012931817296770478,-0.5175556291874323,-0.37308961686179476,-3.0,-2.2501362096380633,1,False,True,1762880899.8891935
13,88,-0.0022958095389940068,0.00023963253363981703,0.0,0.0,-0.20203123943147258,0.0210876629603039,0.0,0.0,0,False,True,1762880905.7876165
14,93,-0.0033649892836432925,-0.005221080102540483,0.0,-0.010726390560007319,-0.3129440033788262,-0.485560449536265,0.0,-0.9975543220806807,0,False,True,1762880919.1166384
15,67,-0.001157565415222192,-0.0039946754268823,0.0,0.0,-0.07755688281988687,-0.2676432536011141,0.0,0.0,0,False,True,1762880945.4018283
16,197,-0.003303036395441885,-0.004243421551968008,0.0,0.0,-0.6506981699020513,-0.8359540457376975,0.0,0.0,0,False,True,1762880968.4216814
17,200,-0.002976466493291772,-0.003487038225094029,-0.015,-0.0030028072346699507,-0.5952932986583545,-0.6974076450188058,-3.0,-0.6005614469339902,1,False,True,1762880982.0825624
18,99,-0.0033012751467020457,-0.004555424277344905,0.0,-0.07147786813965373,-0.32682623952350254,-0.4509870034571456,0.0,-7.07630894582572,0,False,True,1762880997.5739698
19,175,-0.002331392403681646,-9.297540610007284e-05,-0.017142857142857144,-0.011974303438361937,-0.4079936706442881,-0.016270696067512747,-3.0,-2.095503101713339,1,False,True,1762881024.0910778
20,121,-0.0015099428261628718,0.0031972089893374236,0.0,0.0,-0.1827030819657075,0.3868622877098283,0.0,0.0,0,False,True,1762881042.2470706
21,71,-0.0018956695052365295,0.0018943847865538182,0.0,0.0,-0.1345925348717936,0.1345013198453211,0.0,0.0,0,False,True,1762881061.522496
22,73,-0.002585472849059553,-0.0003752934359201351,0.0,-0.000469712654010311,-0.18873951798134736,-0.027396420822169865,0.0,-0.0342890237427527,0,False,True,1762881070.2347274
23,103,-0.003352629277159011,-0.004812998861519525,0.0,0.0,-0.3453208155473781,-0.495738882736511,0.0,0.0,0,False,True,1762881101.4780502
24,130,-0.0033184962129224316,-0.005231161848330145,-0.046153846153846156,-0.011784386608159949,-0.4314045076799161,-0.6800510402829189,-6.0,-1.5319702590607933,2,False,True,1762881120.935282
25,228,-0.0029523935232013293,-0.0026940067540446337,0.0,-7.011273067996874e-05,-0.6731457232899031,-0.6142335399221764,0.0,-0.015985702595032875,0,False,True,1762881142.356639
26,15,-0.002358513557499824,-0.0015524912655151843,0.0,0.0,-0.03537770336249736,-0.023287368982727763,0.0,0.0,0,False,True,1762881143.4280355
27,147,-0.0019673824350769174,-0.0004096255907773545,-0.04081632653061224,-0.011790634060046568,-0.2892052179563068,-0.06021496184427111,-6.0,-1.7332232068268454,2,False,True,1762881186.7424974
28,212,-0.0028963452818386477,-0.0031975199411188988,0.0,0.0,-0.6140251997497933,-0.6778742275172065,0.0,0.0,0,False,True,1762881218.3034027
29,177,-0.003409862308522301,-0.004615174272323347,0.0,0.0,-0.6035456286084473,-0.8168858462012324,0.0,0.0,0,False,True,1762881242.6078665
30,69,-0.0017036869569204067,0.001637161184952031,0.0,0.0,-0.11755440002750805,0.11296412176169013,0.0,0.0,0,False,True,1762881248.7018988
31,41,-0.0023643031638581565,0.00023066814293866523,-0.07317073170731707,-0.038180895259204234,-0.09693642971818442,0.009457393860485275,-3.0,-1.5654167056273736,1,False,True,1762881255.3952816
32,160,-0.002883793892511126,-8.879116496137568e-05,-0.01875,-0.011083003637014921,-0.4614070228017802,-0.014206586393820109,-3.0,-1.7732805819223874,1,False,True,1762881301.3805282
33,94,-0.003391971422939727,-0.004927998537267206,0.0,0.0,-0.31884531375633435,-0.4632318625031173,0.0,0.0,0,False,True,1762881307.8240356
34,163,-0.003309539265536293,-0.004423430675413856,-0.03680981595092025,-0.011924759749301454,-0.5394549002824157,-0.7210192000924585,-6.0,-1.943735839136137,2,False,True,1762881320.3976338
35,50,-0.0030868199010907595,-0.002534357692043152,0.0,0.0,-0.15434099505453797,-0.1267178846021576,0.0,0.0,0,False,True,1762881324.5604088
