episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_path_efficiency,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_path_efficiency,total_intrusions,terminated_waypoint,truncated,finished_at
1,27,-0.00233944461105865,0.21713911798259541,0.0,0.0,-0.06316500449858355,5.862756185530076,0.0,0.0,0,True,False,1764321215.505696
2,68,-0.0028950051749883007,0.03788791382261281,-0.5294117647058824,0.0,-0.19686035189920445,2.5763781399376713,-36.0,0.0,3,False,True,1764321217.3174887
3,70,-0.0032838946412499645,0.03658658722718266,-2.2285714285714286,0.0,-0.22987262488749752,2.561061105902786,-156.0,0.0,13,False,True,1764321218.6867032
4,86,-0.002869314928827402,0.03928517595767964,-1.6744186046511629,0.0,-0.2467610838791566,3.378525132360449,-144.0,0.0,12,False,True,1764321220.1021917
5,96,-0.0028327473393420476,0.039751906627646945,-0.25,0.0,-0.27194374457683657,3.8161830362541065,-24.0,0.0,2,False,True,1764321221.570911
6,91,-0.003008729644134319,0.03871501695573457,0.0,0.0,-0.27379439761622304,3.523066542971846,0.0,0.0,0,False,True,1764321222.7228532
7,26,-0.0023274414273397053,0.22384363887088585,0.0,0.0,-0.06051347711083233,5.819934610643032,0.0,0.0,0,True,False,1764321223.2300525
8,29,-0.0024161015187799026,0.20497170254601735,0.0,0.0,-0.07006694404461718,5.944179373834503,0.0,0.0,0,True,False,1764321224.4170148
9,65,-0.003015328697019866,0.03702381265616681,0.0,0.0,-0.1959963653062913,2.4065478226508428,0.0,0.0,0,False,True,1764321225.9797058
10,85,-0.0031396754433784097,0.03789566369253276,0.0,0.0,-0.26687241268716483,3.221131413865285,0.0,0.0,0,False,True,1764321227.3491948
11,26,-0.0022785570995803818,0.22398079475346286,0.0,0.0,-0.05924248458908992,5.823500663590035,0.0,0.0,0,True,False,1764321227.934075
12,86,-0.0030098781880004404,0.03847280928638708,-0.6976744186046512,0.0,-0.25884952416803786,3.3086615986292887,-60.0,0.0,5,False,True,1764321229.7784345
13,85,-0.003137687115440474,0.03772861082926317,0.0,0.0,-0.2667034048124403,3.206931920487369,0.0,0.0,0,False,True,1764321231.3427823
14,56,-0.0031706361535436323,0.03557517911982629,-1.5,0.0,-0.1775556245984434,1.9922100307102724,-84.0,0.0,7,False,True,1764321232.4923103
15,49,-0.0032503749935843354,0.03559701630133168,-1.469387755102041,0.0,-0.15926837468563243,1.7442537987652522,-72.0,0.0,6,False,True,1764321233.8705728
16,76,-0.002940711800525847,0.03832271545078923,0.0,0.0,-0.22349409683996438,2.912526374259982,0.0,0.0,0,False,True,1764321235.4753773
17,36,-0.0022983043562412667,0.03608204150546465,0.0,0.0,-0.0827389568246856,1.2989534941967276,0.0,0.0,0,False,True,1764321236.2802851
18,93,-0.0033232606959620954,0.03759736818071536,-1.8064516129032258,0.0,-0.3090632447244749,3.4965552408065284,-168.0,0.0,14,False,True,1764321238.3392913
19,35,-0.0027488461882980457,0.17621556365963104,0.0,0.0,-0.0962096165904316,6.167544728087086,0.0,0.0,0,True,False,1764321238.9992259
20,99,-0.00305537039893896,0.038940881055694945,-1.0909090909090908,0.0,-0.30248166949495703,3.8551472245137997,-108.0,0.0,9,False,True,1764321240.7800736
21,68,-0.002954296579730307,0.037711662509226807,-0.35294117647058826,0.0,-0.20089216742166088,2.564393050627423,-24.0,0.0,2,False,True,1764321241.8428102
22,44,-0.002997151524331744,0.14794957673657982,0.0,0.0,-0.13187466707059672,6.509781376409513,0.0,0.0,0,True,False,1764321242.7279508
23,36,-0.002556108624290221,0.03516715843255798,0.0,0.0,-0.09201991047444796,1.2660177035720872,0.0,0.0,0,False,True,1764321243.8733091
24,69,-0.00298779967661141,0.0377198815611898,-1.0434782608695652,0.0,-0.20615817768618727,2.602671827722096,-72.0,0.0,6,False,True,1764321245.8287947
25,45,-0.0027618755180737965,0.03607298604888534,0.0,0.0,-0.12428439831332085,1.6232843721998402,0.0,0.0,0,False,True,1764321246.8270106
26,38,-0.0024893315279468486,0.03593097279481073,0.0,0.0,-0.09459459806198024,1.3653769662028077,0.0,0.0,0,False,True,1764321248.1032217
27,48,-0.0033900363151281553,0.03429967378734373,-0.75,0.0,-0.16272174312615145,1.646384341792499,-36.0,0.0,3,False,True,1764321249.6685712
28,91,-0.0028335770682763376,0.039604072283639935,0.0,0.0,-0.2578555132131467,3.6039705778112343,0.0,0.0,0,False,True,1764321251.4831548
29,58,-0.0029842650834499373,0.03668538132086412,0.0,0.0,-0.17308737484009637,2.127752116610119,0.0,0.0,0,False,True,1764321252.5473692
30,103,-0.002872324780497664,0.039814340759551876,0.0,0.0,-0.2958494523912594,4.100877098233843,0.0,0.0,0,False,True,1764321254.050828
