episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_path_efficiency,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_path_efficiency,total_intrusions,terminated_waypoint,truncated,finished_at
1,31,-0.0025704273427798424,0.19407946232219989,0.0,0.0,-0.07968324762617511,6.016463331988197,0.0,0.0,0,True,False,1764321215.5801528
2,45,-0.0025145332652558162,0.0371687015520613,0.0,0.0,-0.11315399693651172,1.6725915698427583,0.0,0.0,0,False,True,1764321217.0334587
3,83,-0.0024836568312063692,0.039621638612175346,-1.4457831325301205,0.0,-0.20614351699012864,3.288596004810554,-120.0,0.0,10,False,True,1764321218.7816079
4,75,-0.0026495612946542137,0.0395774306836143,0.0,0.0,-0.19871709709906604,2.9683073012710723,0.0,0.0,0,False,True,1764321220.0036626
5,36,-0.0024055513100603963,0.03580112093782143,0.0,0.0,-0.08659984716217427,1.2888403537615716,0.0,0.0,0,False,True,1764321220.8719177
6,103,-0.00273990598163008,0.04015822487527704,0.0,0.0,-0.28221031610789826,4.136297162153535,0.0,0.0,0,False,True,1764321222.758774
7,30,-0.0024889770474037353,0.1993723303998106,0.0,0.0,-0.07466931142211206,5.981169911994318,0.0,0.0,0,True,False,1764321223.2915914
8,12,-0.0014150596823968512,0.4430988620090633,0.0,0.0,-0.016980716188762214,5.31718634410876,0.0,0.0,0,True,False,1764321224.131046
9,81,-0.0027754481340174285,0.0392352391792781,-1.037037037037037,0.0,-0.2248112988554117,3.178054373521526,-84.0,0.0,7,False,True,1764321226.0964956
10,31,-0.0021874057708355806,0.03540178013571192,-1.935483870967742,0.0,-0.067809578895903,1.0974551842070697,-60.0,0.0,5,False,True,1764321226.746251
11,85,-0.0029086411809338903,0.03881786803932798,0.0,0.0,-0.2472345003793807,3.299518783342878,0.0,0.0,0,False,True,1764321228.5851355
12,83,-0.002935124599763198,0.038409676913342045,-0.8674698795180723,0.0,-0.24361534178034547,3.1880031838073895,-72.0,0.0,6,False,True,1764321229.7547646
13,60,-0.003434070893279943,0.03476815713612554,-2.0,0.0,-0.2060442535967966,2.0860894281675324,-120.0,0.0,10,False,True,1764321231.0700364
14,65,-0.0026475916578477528,0.03868928182450529,-0.5538461538461539,0.0,-0.17209345776010393,2.514803318592844,-36.0,0.0,3,False,True,1764321232.5950391
15,40,-0.001959505741541514,0.1620770015083616,-6.0,0.0,-0.07838022966166056,6.483080060334464,-240.0,0.0,20,True,False,1764321233.7355676
16,36,-0.0027179426510896467,0.17262363831677163,0.0,0.0,-0.09784593543922727,6.214450979403779,0.0,0.0,0,True,True,1764321235.0845618
17,77,-0.00296197138790432,0.03781031528469171,-0.7792207792207793,0.0,-0.22807179686863263,2.911394276921262,-60.0,0.0,5,False,True,1764321236.827034
18,102,-0.002711674150596406,0.040469823607688714,-0.7058823529411765,0.0,-0.2765907633608334,4.127922007984249,-72.0,0.0,6,False,True,1764321238.387361
19,75,-0.0028543283730735588,0.03824945985411265,-1.28,0.0,-0.2140746279805169,2.868709489058449,-96.0,0.0,8,False,True,1764321239.4068885
20,52,-0.0032368557255172065,0.1305806389110689,0.0,0.0,-0.16831649772689475,6.790193223375583,0.0,0.0,0,True,True,1764321240.457259
21,85,-0.0029552149261192207,0.03857236776410676,-0.4235294117647059,0.0,-0.25119326872013376,3.2786512599490747,-36.0,0.0,3,False,True,1764321241.9215753
22,95,-0.0029117739009936515,0.03876510599395285,-2.0210526315789474,0.0,-0.2766185205943969,3.682685069425521,-192.0,0.0,16,False,True,1764321243.1259453
23,87,-0.002540555821550988,0.040332037850281346,-0.5517241379310345,0.0,-0.22102835647493596,3.508887292974477,-48.0,0.0,4,False,True,1764321244.5657353
24,63,-0.003568654003477357,0.0341812959675405,-1.3333333333333333,0.0,-0.22482520221907348,2.1534216459550515,-84.0,0.0,7,False,True,1764321245.7774377
25,56,-0.0030962430442491628,0.124880617994763,-0.6428571428571429,0.0,-0.17338961047795312,6.993314607706727,-36.0,0.0,3,True,True,1764321247.0133548
26,21,-0.0020147016480806883,0.2680834942986235,0.0,0.0,-0.042308734609694455,5.629753380271093,0.0,0.0,0,True,False,1764321247.822311
27,69,-0.0027387400326792885,0.03868155386662743,-0.34782608695652173,0.0,-0.1889730622548709,2.669027216797293,-24.0,0.0,2,False,True,1764321249.8723557
28,70,-0.002453317749745824,0.03952249939082606,-3.7714285714285714,0.0,-0.17173224248220767,2.7665749573578244,-264.0,0.0,22,False,True,1764321251.3000398
29,46,-0.002534278323343922,0.037247023294770136,0.0,0.0,-0.11657680287382041,1.7133630715594261,0.0,0.0,0,False,True,1764321252.35472
30,53,-0.003146567713504874,0.12930944869125596,-0.6792452830188679,0.0,-0.16676808881575833,6.853400780636567,-36.0,0.0,3,True,False,1764321253.7165544
