iteration,avg_reward,avg_length,avg_intrusions,waypoint_rate
5,-70.713,99.53,9.23,0.7833
10,-72.929,102.13,11.37,0.8833
15,-55.397,90.77,7.9,0.9889
20,-73.873,93.93,10.6,0.9944
