episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_proximity,total_intrusions,terminated_waypoint,truncated,finished_at,pid,agent
1,12,-0.0063129399713334,0.185884673693368,0.0,-0.8589728532825682,-0.0757552796560017,2.230616084320416,0.0,-10.30767423939082,4,True,False,1761556759.646129,pid_36264,KL004
1,13,-0.003768397897017,0.1733531780048521,0.0,0.0,-0.0489891726612216,2.253591314063077,0.0,0.0,0,True,False,1761556759.6491275,pid_13252,KL001
1,13,-0.0056663474015407,0.1735168433741162,0.0,-0.301124754793011,-0.0736625162200291,2.255718963863512,0.0,-3.914621812309143,0,True,False,1761556759.66013,pid_9528,KL001
1,25,-0.0100817317265839,0.0176078757338653,0.0,0.0,-0.2520432931645978,0.4401968933466332,0.0,0.0,0,False,True,1761556759.7963953,pid_32148,KL001
1,31,-0.0271278417795814,0.0049863882710463,0.0,-0.0014990121865256,-0.8409630951670239,0.1545780364024356,0.0,-0.046469377782296,0,False,True,1761556759.8279166,pid_11220,KL006
1,40,-0.0170713552109049,0.0610665074924378,0.0,-0.0978655453077285,-0.6828542084361975,2.4426602996975126,0.0,-3.914621812309143,0,True,False,1761556759.892823,pid_9528,KL002
1,39,-0.0104530014301001,0.0160475929263004,0.0,0.0,-0.4076670557739077,0.6258561241257169,0.0,0.0,0,False,True,1761556759.892823,pid_11220,KL005
1,39,-0.0200086440277267,0.0098645482150373,0.0,0.0,-0.7803371170813436,0.3847173803864585,0.0,0.0,0,False,True,1761556759.894822,pid_31396,KL002
1,36,-0.0065775832815183,0.0732757547530828,-0.1666666666666666,-1.0133306743142438,-0.2367929981346593,2.637927171110982,-6.0,-36.47990427531278,6,True,False,1761556759.9038644,pid_32148,KL005
1,42,-0.0124175994011259,0.0609158851215831,0.0,0.0,-0.5215391748472907,2.558467175106492,0.0,0.0,0,True,False,1761556759.9148717,pid_11220,KL001
1,47,-0.0226532653158741,0.0079428103336262,-0.3829787234042553,-0.859239272897985,-1.064703469846087,0.373312085680435,-18.0,-40.384245826205294,31,False,True,1761556759.9594307,pid_31336,KL002
1,45,-0.0165047016982219,0.0116947856760286,0.0,-0.6114454731110007,-0.7427115764199865,0.5262653554212897,0.0,-27.515046289995038,2,False,True,1761556759.9649456,pid_31476,KL006
