feature,index,min,max,mean,std,samples,episode_index
cos_drift,0,-0.9990420341491699,1.0,0.4592619969880264,0.6589801810101119,103,1
sin_drift,1,-0.2768610119819641,0.9999488592147827,0.4249874192776153,0.42446975084048894,103,1
airspeed_norm,2,-0.011283538304269314,1.0000131130218506,0.05816581835732934,0.2353981702742686,103,1
risk_0,3,0.014000000432133675,0.8999471664428711,0.11036385861632313,0.18110434647903023,103,1
risk_1,4,0.014000000432133675,0.0958743542432785,0.0362703076391978,0.027491615427328198,103,1
risk_2,5,0.014000000432133675,0.0879547968506813,0.025221892424578812,0.020616774224402144,103,1
x_r_0,6,-1.4863758087158203,1.3067493438720703,-0.06576190612197502,0.6080537283600984,103,1
x_r_1,7,-1.5813742876052856,1.5080482959747314,0.030288424921556586,0.6483118268282079,103,1
x_r_2,8,-1.7554692029953003,2.2670140266418457,0.22601458833561938,0.9180063333889186,103,1
y_r_0,9,-1.1556050777435303,1.8022451400756836,-0.005834410039400601,0.6294023065356246,103,1
y_r_1,10,-1.8022451400756836,1.7250133752822876,-0.12110879362642188,1.0420900713151195,103,1
y_r_2,11,-1.7788827419281006,1.260096549987793,-0.24410286108122284,1.0676484657391494,103,1
vx_r_0,12,-0.6583554744720459,0.9207343459129333,-0.03183201892816833,0.3143245746760277,103,1
vx_r_1,13,-0.8147366046905518,0.7000289559364319,-0.02743541656595483,0.34114665623149804,103,1
vx_r_2,14,-0.9207343459129333,0.5940312147140503,0.046865446312190265,0.3489099893423416,103,1
vy_r_0,15,-0.5489338636398315,0.8414868712425232,0.020263368286445576,0.18408100983181888,103,1
vy_r_1,16,-0.7470481991767883,0.8502368330955505,0.017031215334727047,0.21623924438464406,103,1
vy_r_2,17,-0.8414868712425232,0.3165225088596344,-0.035422167913266,0.16614774771105112,103,1
cos_trk_0,18,-0.9999300241470337,0.999871015548706,-0.04306347892411707,0.6977833236058921,103,1
cos_trk_1,19,-0.9999954104423523,0.9999858140945435,-0.045076526990793286,0.7649774035661343,103,1
cos_trk_2,20,-0.9970767498016357,0.9999998807907104,0.12027527514881298,0.8156486112642432,103,1
sin_trk_0,21,-0.9999997019767761,0.9999997019767761,0.030155556791832745,0.7211875180869015,103,1
sin_trk_1,22,-0.9963293075561523,0.9973652362823486,0.0805359797018752,0.6449899632366639,103,1
sin_trk_2,23,-0.9964232444763184,0.9330436587333679,-0.1737432568300136,0.5472025452365225,103,1
dist_n_0,24,-0.18919743597507477,0.6311613917350769,0.1192508528542533,0.1425627811816465,103,1
dist_n_1,25,-0.12467392534017563,0.6555465459823608,0.25838580001676825,0.17703694464841882,103,1
dist_n_2,26,-0.03079974092543125,0.8289846181869507,0.34625750029622343,0.18378058795077895,103,1
cos_drift,0,-0.9990420341491699,1.0,0.47368904422378033,0.6221853258422966,246,2
sin_drift,1,-0.999889612197876,0.9999749660491943,0.36872811243060355,0.5051282414568878,246,2
airspeed_norm,2,-0.011283538304269314,1.0000131130218506,0.04870831699070822,0.21587303132602556,246,2
risk_0,3,0.014000000432133675,0.8999471664428711,0.08913271643630251,0.13301742013779597,246,2
risk_1,4,0.014000000432133675,0.1287948042154312,0.038383063773162716,0.026538747902245106,246,2
risk_2,5,0.014000000432133675,0.11023513972759247,0.02464021482633624,0.020242134079505897,246,2
x_r_0,6,-1.4863758087158203,1.4505841732025146,-0.09050569235398323,0.5846932206638502,246,2
x_r_1,7,-1.5813742876052856,1.5080482959747314,0.002943709568400699,0.6542907406027854,246,2
x_r_2,8,-1.8892146348953247,2.2670140266418457,-0.023038176300072207,0.8645759588255475,246,2
y_r_0,9,-1.5031678676605225,1.8022451400756836,-0.05892753159642462,0.5362616388956528,246,2
y_r_1,10,-1.9329978227615356,1.7250133752822876,-0.14822490715620026,0.7998732284847435,246,2
y_r_2,11,-1.7788827419281006,1.260096549987793,-0.10559862690629443,0.7986520142992302,246,2
vx_r_0,12,-0.9390756487846375,0.9390756487846375,0.00578364578659677,0.2794226821991615,246,2
vx_r_1,13,-0.8147366046905518,0.7000289559364319,-0.03326856567097517,0.2516852821158581,246,2
vx_r_2,14,-0.9207343459129333,0.5940312147140503,0.01024581057078937,0.26521379389479316,246,2
vy_r_0,15,-0.5489338636398315,0.8414868712425232,0.015013761000662307,0.1863989264182856,246,2
vy_r_1,16,-0.7470481991767883,0.8502368330955505,-0.007543311824897174,0.1851415103219793,246,2
vy_r_2,17,-0.8414868712425232,0.38966861367225647,-0.01512573279201687,0.1762454051053389,246,2
cos_trk_0,18,-0.9999300241470337,0.999871015548706,-0.015790139423395584,0.7269185952407975,246,2
cos_trk_1,19,-0.9999954104423523,0.9999858140945435,-0.047715594583168326,0.744448879574606,246,2
cos_trk_2,20,-0.9970767498016357,0.9999998807907104,-0.01968808499414746,0.773490034272453,246,2
sin_trk_0,21,-0.9999997019767761,0.9999997019767761,0.04758145190336234,0.6878571127614208,246,2
sin_trk_1,22,-0.9963293075561523,0.9973652362823486,-0.001873175713907545,0.6690201092873757,246,2
sin_trk_2,23,-0.9964232444763184,0.9330436587333679,-0.03255912086905583,0.6358782665346308,246,2
dist_n_0,24,-0.18919743597507477,0.6311613917350769,0.08181452629313998,0.15113258820841657,246,2
dist_n_1,25,-0.12841932475566864,0.6555465459823608,0.18105036732707572,0.1691211908122332,246,2
dist_n_2,26,-0.12484417855739594,0.8289846181869507,0.23245202104761675,0.18908332926221996,246,2
cos_drift,0,-0.9990420341491699,1.0,0.46011281742716986,0.5960492536210154,353,3
sin_drift,1,-0.999889612197876,0.9999749660491943,0.39863133930279354,0.5252642919632383,353,3
airspeed_norm,2,-0.011283538304269314,1.0000131130218506,0.05088932616072219,0.22032585410571817,353,3
risk_0,3,0.014000000432133675,0.9740713238716125,0.10222350070437691,0.16918107450004222,353,3
risk_1,4,0.014000000432133675,0.6942933201789856,0.04024214564265932,0.044650936127746926,353,3
risk_2,5,0.014000000432133675,0.11722102016210556,0.026176558380086437,0.02193100796001511,353,3
x_r_0,6,-1.4863758087158203,1.4505841732025146,-0.03372836068619533,0.5578032186465256,353,3
x_r_1,7,-1.5813742876052856,1.6130207777023315,0.0708993855367808,0.6809993084000937,353,3
x_r_2,8,-2.0561888217926025,2.2670140266418457,-0.010664074905295789,0.881835626889443,353,3
y_r_0,9,-1.5031678676605225,2.4937453269958496,0.03328355080936185,0.6392080897520076,353,3
y_r_1,10,-1.9329978227615356,2.261561632156372,-0.000837529490608867,0.8330006209271258,353,3
y_r_2,11,-1.7788827419281006,1.9303182363510132,-0.02872390785220233,0.8268745708268714,353,3
vx_r_0,12,-0.9390756487846375,0.9390756487846375,0.020430185594091908,0.2866571995089127,353,3
vx_r_1,13,-0.8147366046905518,0.7000289559364319,-0.014544648012125239,0.25679210812543585,353,3
vx_r_2,14,-0.9207343459129333,0.7185559868812561,0.02047043301569929,0.26486746045341614,353,3
vy_r_0,15,-0.6722986102104187,0.8422865271568298,0.0320037785392791,0.21114177414483845,353,3
vy_r_1,16,-0.9386505484580994,0.8502368330955505,0.0044912748293035615,0.208689676928473,353,3
vy_r_2,17,-0.8414868712425232,0.8562923073768616,-0.012213916053457154,0.2135834632205302,353,3
