episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion
1,16,-0.15764968535746127,0.0011692997842417674,0.0,-2.5223949657193803,0.01870879654786828,0.0
2,7,-0.1547679193251949,0.004920244573449094,0.0,-1.0833754352763643,0.03444171201414366,0.0
3,3,-0.07024758661796036,0.0204186088425032,0.0,-0.2107427598538811,0.061255826527509605,0.0
4,4,-0.13874273125077677,0.011165477677298943,0.0,-0.5549709250031071,0.04466191070919577,0.0
5,43,-0.17462178284743252,-0.002042668644562089,0.0,-7.508736662439598,-0.08783475171616983,0.0
6,14,-0.18990996260315157,-0.004943941905578096,0.0,-2.658739476444122,-0.06921518667809334,0.0
7,9,-0.15968764203039706,0.0015071290913468828,-0.1111111111111111,-1.4371887782735735,0.013564161822121945,-1.0
8,34,-0.13804966892495646,0.004494389732015491,-0.029411764705882353,-4.6936887434485195,0.1528092508885267,-1.0
9,80,-0.14563794139857722,0.003019723997277505,0.0,-11.651035311886178,0.24157791978220042,0.0
10,46,-0.08180685660040689,0.014544916641458142,0.0,-3.763115403618717,0.6690661655070745,0.0
11,40,-0.21196714360093027,-0.009440822339842734,0.0,-8.478685744037211,-0.37763289359370933,0.0
