episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,sum_reward_drift,sum_reward_progress,sum_reward_intrusion
1,15,-0.06749640309545019,0.017651788048851084,-0.2,-1.0124460464317528,0.26477682073276626,-3.0
2,26,-0.17823621609627593,-0.0032328596963561887,0.0,-4.6341416185031745,-0.08405435210526091,0.0
3,13,-0.07923382441270155,0.015587994982045624,0.0,-1.0300397173651201,0.20264393476659312,0.0
4,34,-0.21287218629993626,-0.006815256215002684,0.0,-7.237654334197833,-0.23171871131009125,0.0
5,22,-0.22762025146463588,-0.011109730718314297,0.0,-5.007645532221989,-0.24441407580291455,0.0
6,21,-0.0885574675546936,0.013086301911357076,0.0,-1.8597068186485655,0.2748123401384986,0.0
7,20,-0.12651593127961167,0.007174522495231128,0.0,-2.5303186255922334,0.14349044990462256,0.0
8,48,-0.14329632994426944,0.002988521552928019,-0.10416666666666667,-6.878223837324933,0.14344903454054492,-5.0
9,44,-0.05356391247877119,0.015860270457866595,0.0,-2.356812149065932,0.6978519001461302,0.0
10,74,-0.1466340268025721,0.0019860095750777276,0.0,-10.850917983390335,0.14696470855575183,0.0
