episode_index,steps,mean_reward_drift,mean_reward_progress,mean_reward_intrusion,mean_reward_path_efficiency,mean_reward_boundary,mean_reward_step,mean_reward_proximity,sum_reward_drift,sum_reward_progress,sum_reward_intrusion,sum_reward_path_efficiency,sum_reward_boundary,sum_reward_step,sum_reward_proximity,total_intrusions,terminated_waypoint,terminated_collision,truncated,finished_at
1,11,-0.0014884325130303008,0.009774643934091574,-1.3636363636363635,0.0,0.0,-0.004999999999999999,0.17102050231825416,-0.01637275764333331,0.10752108327500731,-15.0,0.0,0.0,-0.05499999999999999,1.8812255255007957,1,False,True,False,1764587941.3583245
2,48,-0.004462679901773185,-0.0027383440728538286,0.0,0.0,-0.041666666666666664,-0.005000000000000003,0.0,-0.2142086352851129,-0.13144051549698377,0.0,0.0,-2.0,-0.24000000000000013,0.0,0,False,False,True,1764587950.8452733
3,39,-0.004007898457139587,0.00029529067970728696,0.0,0.0,-0.05128205128205128,-0.005000000000000003,0.07304287197268744,-0.15630803982844388,0.01151633650858419,0.0,0.0,-2.0,-0.1950000000000001,2.84867200693481,0,False,False,True,1764587955.8098552
4,16,-0.0023672195494131585,0.006919752716135527,-0.9375,0.0,0.0,-0.005,0.12443499725210355,-0.037875512790610535,0.11071604345816843,-15.0,0.0,0.0,-0.08,1.9909599560336568,1,False,True,False,1764587961.3967917
5,35,-0.0010211275731731827,0.016391655512363323,0.0,0.0,0.0,-0.005000000000000002,0.06476487601760615,-0.0357394650610614,0.5737079429327163,0.0,0.0,0.0,-0.17500000000000007,2.2667706606162152,0,False,True,False,1764587972.7509873
6,6,-0.0012910247489247627,0.009469562612639204,-2.5,0.0,0.0,-0.005,0.3118956183291071,-0.007746148493548577,0.056817375675835224,-15.0,0.0,0.0,-0.030000000000000002,1.8713737099746428,1,False,True,False,1764587979.7838252
7,26,-0.003225950623747396,0.003194816890499266,-0.5769230769230769,0.0,0.0,-0.005000000000000001,0.0644066323216092,-0.0838747162174323,0.08306523915298092,-15.0,0.0,0.0,-0.13000000000000003,1.6745724403618394,1,False,True,False,1764587996.0118601
8,17,-0.0016838700724095314,0.006876791410211482,-0.8823529411764706,0.0,0.0,-0.005,0.1531700901269679,-0.028625791230962032,0.1169054539735952,-15.0,0.0,0.0,-0.085,2.603891532158454,1,False,True,False,1764588024.0120192
9,138,-0.0038115000657838534,0.016747133634555482,0.0,0.0,0.0,-0.005000000000000004,0.12168058785748966,-0.5259870090781718,2.3111044415686566,0.0,0.0,0.0,-0.6900000000000005,16.791921124333573,0,True,False,False,1764588053.3478854
10,175,-0.004820270518973585,-0.0030851111001469677,0.0,0.0,-0.011428571428571429,-0.005000000000000004,0.046219073868595736,-0.8435473408203774,-0.5398944425257194,0.0,0.0,-2.0,-0.8750000000000007,8.088337927004254,0,False,False,True,1764588074.0262296
11,17,-0.002387091079959755,0.008896593994771032,-0.8823529411764706,0.0,0.0,-0.005,0.12814336704955953,-0.040580548359315835,0.15124209791110754,-15.0,0.0,0.0,-0.085,2.178437239842512,1,False,True,False,1764588076.5519972
12,16,-0.002042420108589082,0.004545298603557714,-0.9375,0.0,0.0,-0.005,0.1312194704274338,-0.03267872173742531,0.07272477765692342,-15.0,0.0,0.0,-0.08,2.0995115268389406,1,False,True,False,1764588096.1415877
13,196,-0.005941806335849205,-0.006100738061480763,0.0,0.0,-0.01020408163265306,-0.005000000000000004,0.013536436614305392,-1.1645940418264442,-1.1957446600502295,0.0,0.0,-2.0,-0.9800000000000008,2.653141576403857,0,False,False,True,1764588132.3899095
14,10,-0.0007117062308837375,0.013003582893165522,-1.5,0.0,0.0,-0.004999999999999999,0.23502657518923203,-0.0071170623088373745,0.13003582893165522,-15.0,0.0,0.0,-0.049999999999999996,2.3502657518923202,1,False,True,False,1764588143.5262372
15,7,-0.00284050945936,0.007103549631208088,0.0,0.0,-0.2857142857142857,-0.005,0.0,-0.01988356621552,0.04972484741845662,0.0,0.0,-2.0,-0.035,0.0,0,False,False,True,1764588153.2403162
16,9,-0.002845431169515489,0.004514295651512685,-1.6666666666666667,0.0,0.0,-0.005,0.27561294195371766,-0.025608880525639404,0.04062866086361416,-15.0,0.0,0.0,-0.045,2.480516477583459,1,False,True,False,1764588167.7425342
17,77,-0.002303972603423398,0.008814649178151182,0.0,0.0,-0.025974025974025976,-0.005000000000000003,5.121409865475014e-06,-0.17740589046360164,0.678727986717641,0.0,0.0,-2.0,-0.38500000000000023,0.00039434855964157607,0,False,False,True,1764588212.0167491
18,5,-0.0009276683538601988,0.009903647549438288,-3.0,0.0,0.0,-0.005,0.5340883388574884,-0.004638341769300994,0.04951823774719144,-15.0,0.0,0.0,-0.025,2.670441694287442,1,False,True,False,1764588216.4504976
19,14,-0.0019963127869894403,0.008908966173143166,-1.0714285714285714,0.0,0.0,-0.004999999999999999,0.13419601143540108,-0.027948379017852167,0.12472552642400431,-15.0,0.0,0.0,-0.06999999999999999,1.8787441600956152,1,False,True,False,1764588231.4615483
20,11,-0.002591903455989278,0.005266062603470229,-1.3636363636363635,0.0,0.0,-0.004999999999999999,0.2348050839989403,-0.02851093801588206,0.05792668863817252,-15.0,0.0,0.0,-0.05499999999999999,2.582855923988343,1,False,True,False,1764588258.9474323
21,57,-0.0016179956792477864,0.013841428478200645,0.0,0.0,-0.03508771929824561,-0.005000000000000003,0.01264788808362732,-0.09222575371712383,0.7889614232574368,0.0,0.0,-2.0,-0.28500000000000014,0.7209296207667573,0,False,False,True,1764588289.3047721
22,45,-0.0010998291952636569,0.01373607447858811,-0.3333333333333333,0.0,0.0,-0.005000000000000003,0.03196002937951922,-0.049492313786864556,0.6181233515364649,-15.0,0.0,0.0,-0.22500000000000012,1.4382013220783652,1,False,True,False,1764588307.8691459
23,83,-0.0021174738216614077,0.03291119830722023,0.0,0.0,0.0,-0.005000000000000003,0.044765225810130364,-0.17575032719789682,2.7316294594992794,0.0,0.0,0.0,-0.41500000000000026,3.71551374224082,0,True,False,False,1764588326.5674229
24,145,-0.001961503599190372,0.024437844247881813,0.0,0.0,0.0,-0.005000000000000004,0.1095853728344298,-0.28441802188260396,3.5434874159428627,0.0,0.0,0.0,-0.7250000000000005,15.889879060992321,0,True,False,False,1764588350.3505876
25,8,-0.0023896601890035707,0.004070140403373168,-1.875,0.0,0.0,-0.005,0.3072032081007948,-0.019117281512028565,0.032561123226985345,-15.0,0.0,0.0,-0.04,2.4576256648063586,1,False,True,False,1764588352.9211514
26,63,-0.0008386716758013366,0.04389449505434878,0.0,0.0,0.0,-0.005000000000000003,0.0,-0.052836315575484204,2.765353188423973,0.0,0.0,0.0,-0.31500000000000017,0.0,0,True,False,False,1764588371.2399762
27,6,-0.0011226319324928382,0.006017790627444712,-2.5,0.0,0.0,-0.005,0.5179906657045356,-0.006735791594957029,0.03610674376466827,-15.0,0.0,0.0,-0.030000000000000002,3.107943994227213,1,False,True,False,1764588382.1148684
28,31,-0.0029898420798852095,0.004643581589672869,0.0,0.0,0.0,-0.005000000000000002,0.1385504891058144,-0.09268510447644149,0.14395102927985892,0.0,0.0,0.0,-0.15500000000000005,4.295065162280247,0,False,True,False,1764588398.6049325
29,96,-0.00102386410541376,0.03573193954278935,0.0,0.0,0.0,-0.005000000000000004,0.1440120369878928,-0.09829095411972096,3.430266196107778,0.0,0.0,0.0,-0.4800000000000003,13.82515555083771,0,True,False,False,1764588417.0536852
30,108,-0.0016682515684224132,0.01029100447726364,0.0,0.0,-0.018518518518518517,-0.005000000000000004,0.15320392374116565,-0.18017116938962063,1.111428483544473,0.0,0.0,-2.0,-0.5400000000000004,16.54602376404589,0,False,False,True,1764588432.1290925
31,38,-0.0006491719306149344,0.0677496764973118,0.0,0.0,0.0,-0.005000000000000002,0.0,-0.02466853336336751,2.5744877068978482,0.0,0.0,0.0,-0.19000000000000009,0.0,0,True,False,False,1764588450.2921672
32,20,-0.004404758450426783,0.001895017298970314,-1.5,0.0,0.0,-0.005000000000000001,0.15586942857136463,-0.08809516900853566,0.03790034597940628,-30.0,0.0,0.0,-0.10000000000000002,3.1173885714272926,2,False,True,False,1764588461.946607
33,41,-0.001005951797919024,0.013902656760316011,0.0,0.0,0.0,-0.005000000000000003,0.17028266323614544,-0.041244023714679987,0.5700089271729565,0.0,0.0,0.0,-0.2050000000000001,6.981589192681962,0,False,True,False,1764588477.6685462
34,11,-0.0012053303042526954,0.011978561692821854,-1.3636363636363635,0.0,0.0,-0.004999999999999999,0.17825721335987155,-0.013258633346779649,0.1317641786210404,-15.0,0.0,0.0,-0.05499999999999999,1.960829346958587,1,False,True,False,1764588486.9567363
35,168,-0.003185439039727105,0.016564729092363728,0.0,0.0,0.0,-0.005000000000000004,0.08236516296819821,-0.5351537586741536,2.7828744875171063,0.0,0.0,0.0,-0.8400000000000006,13.837347378657299,0,True,False,False,1764588516.1672025
36,71,-0.007038562993981712,-0.011796270570991849,0.0,0.0,-0.028169014084507043,-0.005000000000000003,0.23308070652192725,-0.4997379725727015,-0.8375352105404212,0.0,0.0,-2.0,-0.3550000000000002,16.548730163056835,0,False,False,True,1764588524.8398173
37,68,-0.0012960041563841631,0.04140701262668416,-1.3235294117647058,0.0,0.0,-0.005000000000000003,0.1600862867844051,-0.08812828263412309,2.815676858614523,-90.0,0.0,0.0,-0.3400000000000002,10.885867501339547,6,True,False,False,1764588537.821013
38,10,-0.003297943405945283,0.005962442895572795,-1.5,0.0,0.0,-0.004999999999999999,0.11686510887606465,-0.032979434059452827,0.05962442895572795,-15.0,0.0,0.0,-0.049999999999999996,1.1686510887606465,1,False,True,False,1764588546.5984917
39,50,-0.0009482246282714304,0.013392868199799767,-1.8,0.0,0.0,-0.005000000000000002,0.17021508257175363,-0.04741123141357152,0.6696434099899884,-90.0,0.0,0.0,-0.2500000000000001,8.510754128587681,6,False,True,False,1764588591.1696005
